#Digilent WaveForms Logic Analyzer Bus Events
#Device Name: Discovery2
#Serial Number: SN:210321A7F8BC
#Date Time: 2019-08-15 15:51:39.054

Time (s),Event
-0.09196792,b0111
-0.0919662,b1111
-0.09196292,b0010
-0.0919612,b1111
-0.08679624,b0000
-0.08679452,b1111
-0.08679124,b0001
-0.08678952,b1111
-0.08678624,b0010
-0.08678452,b1111
-0.08677624,b0111
-0.08677452,b1111
-0.08675624,b0111
-0.08675452,b1110
-0.08675124,b0010
-0.08674952,b1111
-0.08673376,b0010
-0.08673204,b1111
-0.08671626,b0010
-0.08671454,b1111
-0.08669876,b0010
-0.08669704,b1111
-0.08668126,b0010
-0.08667954,b1111
-0.08666376,b0010
-0.08666204,b1111
-0.08664626,b0010
-0.08664454,b1111
-0.08662876,b0010
-0.08662704,b1111
-0.08661128,b0010
-0.08660956,b1111
-0.08659378,b0010
-0.08659206,b1111
-0.08657628,b0010
-0.08657456,b1111
-0.08655878,b0010
-0.08655706,b1111
-0.08654128,b0010
-0.08653956,b1111
-0.08652378,b0010
-0.08652206,b1111
-0.08650628,b0010
-0.08650456,b1111
-0.0864888,b0010
-0.08648706,b1111
-0.0864713,b0010
-0.08646958,b1111
-0.0864538,b0010
-0.08645208,b1111
-0.0864363,b0010
-0.08643458,b1111
-0.0864188,b0010
-0.08641708,b1111
-0.0864013,b0010
-0.08639958,b1111
-0.0863838,b0010
-0.08638208,b1111
-0.08636632,b0010
-0.08636458,b1111
-0.08634882,b0010
-0.0863471,b1111
-0.08633132,b0010
-0.0863296,b1111
-0.08631382,b0010
-0.0863121,b1111
-0.08629632,b0010
-0.0862946,b1111
-0.08627882,b0010
-0.0862771,b1111
-0.08626132,b0010
-0.0862596,b1111
-0.08624382,b0010
-0.0862421,b1111
-0.08622634,b0010
-0.08622462,b1111
-0.08620884,b0010
-0.08620712,b1111
-0.08619134,b0010
-0.08618962,b1111
-0.08617384,b0010
-0.08617212,b1111
-0.08615634,b0010
-0.08615462,b1111
-0.08613884,b0010
-0.08613712,b1111
-0.08612134,b0010
-0.08611962,b1111
-0.08610386,b0010
-0.08610214,b1111
-0.08608636,b0010
-0.08608464,b1111
-0.08606886,b0010
-0.08606714,b1111
-0.08605136,b0010
-0.08604964,b1111
-0.08603386,b0010
-0.08603214,b1111
-0.08601636,b0010
-0.08601464,b1111
-0.08599886,b0010
-0.08599714,b1111
-0.08598138,b0010
-0.08597966,b1111
-0.08596388,b0010
-0.08596216,b1111
-0.08594638,b0010
-0.08594466,b1111
-0.08592888,b0010
-0.08592716,b1111
-0.08591138,b0010
-0.08590966,b1111
-0.08589388,b0010
-0.08589216,b1111
-0.08587638,b0010
-0.08587466,b1111
-0.0858589,b0010
-0.08585716,b1111
-0.0858414,b0010
-0.08583968,b1111
-0.0858239,b0010
-0.08582218,b1111
-0.0858064,b0010
-0.08580468,b1111
-0.0857889,b0010
-0.08578718,b1111
-0.0857714,b0010
-0.08576968,b1111
-0.0857539,b0010
-0.08575218,b1111
-0.08573642,b0010
-0.08573468,b1111
-0.08571892,b0010
-0.0857172,b1111
-0.08570142,b0010
-0.0856997,b1111
-0.08568392,b0010
-0.0856822,b1111
-0.08566642,b0010
-0.0856647,b1111
-0.08564892,b0010
-0.0856472,b1111
-0.08563142,b0010
-0.0856297,b1111
-0.08561392,b0010
-0.0856122,b1111
-0.08559644,b0010
-0.08559472,b1111
-0.08557894,b0010
-0.08557722,b1111
-0.08556144,b0010
-0.08555972,b1111
-0.08554394,b0010
-0.08554222,b1111
-0.08552644,b0010
-0.08552472,b1111
-0.08550894,b0010
-0.08550722,b1111
-0.08549144,b0010
-0.08548972,b1111
-0.08547396,b0010
-0.08547224,b1111
-0.08545646,b0010
-0.08545474,b1111
-0.08543896,b0010
-0.08543724,b1111
-0.08542146,b0010
-0.08541974,b1111
-0.08540396,b0010
-0.08540224,b1111
-0.08538646,b0010
-0.08538474,b1111
-0.08536896,b0010
-0.08536724,b1111
-0.08535148,b0010
-0.08534976,b1111
-0.08533398,b0010
-0.08533226,b1111
-0.08531648,b0010
-0.08531476,b1111
-0.08529898,b0010
-0.08529726,b1111
-0.08528148,b0010
-0.08527976,b1111
-0.08526398,b0010
-0.08526226,b1111
-0.08524648,b0010
-0.08524476,b1111
-0.085229,b0010
-0.08522726,b1111
-0.0852115,b0010
-0.08520978,b1111
-0.085194,b0010
-0.08519228,b1111
-0.0851765,b0010
-0.08517478,b1111
-0.085159,b0010
-0.08515728,b1111
-0.0851415,b0010
-0.08513978,b1111
-0.085124,b0010
-0.08512228,b1111
-0.08510652,b0010
-0.08510478,b1111
-0.08508902,b0010
-0.0850873,b1111
-0.08507152,b0010
-0.0850698,b1111
-0.08505402,b0010
-0.0850523,b1111
-0.08503652,b0010
-0.0850348,b1111
-0.08501902,b0010
-0.0850173,b1111
-0.08500152,b0010
-0.0849998,b1111
-0.08498404,b0010
-0.0849823,b1111
-0.08496654,b0010
-0.08496482,b1111
-0.08494904,b0010
-0.08494732,b1111
-0.08493154,b0010
-0.08492982,b1111
-0.08491404,b0010
-0.08491232,b1111
-0.08489654,b0010
-0.08489482,b1111
-0.08487904,b0010
-0.08487732,b1111
-0.08486154,b0010
-0.08485982,b1111
-0.08484406,b0010
-0.08484234,b1111
-0.08482656,b0010
-0.08482484,b1111
-0.08480906,b0010
-0.08480734,b1111
-0.08479156,b0010
-0.08478984,b1111
-0.08477406,b0010
-0.08477234,b1111
-0.08475656,b0010
-0.08475484,b1111
-0.08473906,b0010
-0.08473734,b1111
-0.08472158,b0010
-0.08471986,b1111
-0.08470408,b0010
-0.08470236,b1111
-0.08468658,b0010
-0.08468486,b1111
-0.08466908,b0010
-0.08466736,b1111
-0.08465158,b0010
-0.08464986,b1111
-0.08463408,b0010
-0.08463236,b1111
-0.08461658,b0010
-0.08461486,b1111
-0.0845991,b0010
-0.08459738,b1111
-0.0845816,b0010
-0.08457988,b1111
-0.0845641,b0010
-0.08456238,b1111
-0.0845466,b0010
-0.08454488,b1111
-0.0845291,b0010
-0.08452738,b1111
-0.0845116,b0010
-0.08450988,b1111
-0.0844941,b0010
-0.08449238,b1111
-0.08447662,b0010
-0.08447488,b1111
-0.08445912,b0010
-0.0844574,b1111
-0.08444162,b0010
-0.0844399,b1111
-0.08442412,b0010
-0.0844224,b1111
-0.08440662,b0010
-0.0844049,b1111
-0.08438912,b0010
-0.0843874,b1111
-0.08437162,b0010
-0.0843699,b1111
-0.08435412,b0010
-0.0843524,b1111
-0.08433664,b0010
-0.08433492,b1111
-0.08431914,b0010
-0.08431742,b1111
-0.08430164,b0010
-0.08429992,b1111
-0.08428414,b0010
-0.08428242,b1111
-0.08426664,b0010
-0.08426492,b1111
-0.08424914,b0010
-0.08424742,b1111
-0.08423164,b0010
-0.08422992,b1111
-0.08421416,b0010
-0.08421244,b1111
-0.08419666,b0010
-0.08419494,b1111
-0.08417916,b0010
-0.08417744,b1111
-0.08416166,b0010
-0.08415994,b1111
-0.08414416,b0010
-0.08414244,b1111
-0.08412666,b0010
-0.08412494,b1111
-0.08410916,b0010
-0.08410744,b1111
-0.08409168,b0010
-0.08408996,b1111
-0.08407418,b0010
-0.08407246,b1111
-0.08405668,b0010
-0.08405496,b1111
-0.08403918,b0010
-0.08403746,b1111
-0.08402168,b0010
-0.08401996,b1111
-0.08400418,b0010
-0.08400246,b1111
-0.08398668,b0010
-0.08398496,b1111
-0.08396918,b0010
-0.08396746,b1111
-0.0839517,b0010
-0.08394998,b1111
-0.0839342,b0010
-0.08393248,b1111
-0.0839167,b0010
-0.08391498,b1111
-0.0838992,b0010
-0.08389748,b1111
-0.0838817,b0010
-0.08387998,b1111
-0.0838642,b0010
-0.08386248,b1111
-0.0838467,b0010
-0.08384498,b1111
-0.08382922,b0010
-0.0838275,b1111
-0.08381172,b0010
-0.08381,b1111
-0.08379422,b0010
-0.0837925,b1111
-0.08377672,b0010
-0.083775,b1111
-0.08375922,b0010
-0.0837575,b1111
-0.08374172,b0010
-0.08374,b1111
-0.08372422,b0010
-0.0837225,b1111
-0.08370674,b0010
-0.08370502,b1111
-0.08368924,b0010
-0.08368752,b1111
-0.08367174,b0010
-0.08367002,b1111
-0.08365424,b0010
-0.08365252,b1111
-0.08363674,b0010
-0.08363502,b1111
-0.08361924,b0010
-0.08361752,b1111
-0.08360174,b0010
-0.08360002,b1111
-0.08358426,b0010
-0.08358254,b1111
-0.08356676,b0010
-0.08356504,b1111
-0.08354926,b0010
-0.08354754,b1111
-0.08353176,b0010
-0.08353004,b1111
-0.08351426,b0010
-0.08351254,b1111
-0.08349676,b0010
-0.08349504,b1111
-0.08347926,b0010
-0.08347754,b1111
-0.08346178,b0010
-0.08346004,b1111
-0.08344428,b0010
-0.08344256,b1111
-0.08342678,b0010
-0.08342506,b1111
-0.08340928,b0010
-0.08340756,b1111
-0.08339178,b0010
-0.08339006,b1111
-0.08337428,b0010
-0.08337256,b1111
-0.08335678,b0010
-0.08335506,b1111
-0.08333928,b0010
-0.08333756,b1111
-0.0833218,b0010
-0.08332008,b1111
-0.0833043,b0010
-0.08330258,b1111
-0.0832868,b0010
-0.08328508,b1111
-0.0832693,b0010
-0.08326758,b1111
-0.0832518,b0010
-0.08325008,b1111
-0.0832343,b0010
-0.08323258,b1111
-0.0832168,b0010
-0.08321508,b1111
-0.08319932,b0010
-0.0831976,b1111
-0.08318182,b0010
-0.0831801,b1111
-0.08316432,b0010
-0.0831626,b1111
-0.08314682,b0010
-0.0831451,b1111
-0.08312932,b0010
-0.0831276,b1111
-0.08311182,b0010
-0.0831101,b1111
-0.08309432,b0010
-0.0830926,b1111
-0.08307684,b0010
-0.08307512,b1111
-0.08305934,b0010
-0.08305762,b1111
-0.08304184,b0010
-0.08304012,b1111
-0.08302434,b0010
-0.08302262,b1111
-0.08300684,b0010
-0.08300512,b1111
-0.08298934,b0010
-0.08298762,b1111
-0.08297184,b0010
-0.08297012,b1111
-0.08295436,b0010
-0.08295262,b1111
-0.08293686,b0010
-0.08293514,b1111
-0.08291936,b0010
-0.08291764,b1111
-0.08290186,b0010
-0.08290014,b1111
-0.08288436,b0010
-0.08288264,b1111
-0.08286686,b0010
-0.08286514,b1111
-0.08284936,b0010
-0.08284764,b1111
-0.08283188,b0010
-0.08283014,b1111
-0.08281438,b0010
-0.08281266,b1111
-0.08279688,b0010
-0.08279516,b1111
-0.08277938,b0010
-0.08277766,b1111
-0.08276188,b0010
-0.08276016,b1111
-0.08274438,b0010
-0.08274266,b1111
-0.08272688,b0010
-0.08272516,b1111
-0.08270938,b0010
-0.08270766,b1111
-0.0826919,b0010
-0.08269018,b1111
-0.0826744,b0010
-0.08267268,b1111
-0.0826569,b0010
-0.08265518,b1111
-0.0826394,b0010
-0.08263768,b1111
-0.0826219,b0010
-0.08262018,b1111
-0.0826044,b0010
-0.08260268,b1111
-0.0825869,b0010
-0.08258518,b1111
-0.08256942,b0010
-0.0825677,b1111
-0.08255192,b0010
-0.0825502,b1111
-0.08253442,b0010
-0.0825327,b1111
-0.08251692,b0010
-0.0825152,b1111
-0.08249942,b0010
-0.0824977,b1111
-0.08248192,b0010
-0.0824802,b1111
-0.08246442,b0010
-0.0824627,b1111
-0.08244694,b0010
